20x20 grid, p = 0.5, f = 0.25, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
15132	54839	34903	35068	30.264000	109.678000
15082	54994	35036	35040	30.164000	109.988000
15206	55047	35117	35136	30.412000	110.094000
14935	55141	35105	34971	29.870000	110.282000
15148	54617	34763	35002	30.296000	109.234000
15169	54487	34874	34782	30.338000	108.974000
15211	55206	35163	35254	30.422000	110.412000
15350	54783	35131	35002	30.700000	109.566000
15179	54970	35095	35054	30.358000	109.940000
15402	54512	35210	34704	30.804000	109.024000
14992	54826	34998	34820	29.984000	109.652000
15071	54708	34710	35069	30.142000	109.416000
15284	54472	34798	34958	30.568000	108.944000
14980	54940	34932	34988	29.960000	109.880000
15212	54542	34764	34990	30.424000	109.084000
15024	54917	35199	34742	30.048000	109.834000
15219	55034	35170	35083	30.438000	110.068000
15297	54818	34943	35172	30.594000	109.636000
15060	54986	34917	35129	30.120000	109.972000
15158	54649	34900	34907	30.316000	109.298000
15053	55180	35133	35100	30.106000	110.360000
15066	55374	35147	35293	30.132000	110.748000
14996	54666	34685	34977	29.992000	109.332000
15046	55189	35166	35069	30.092000	110.378000
14940	55576	35474	35042	29.880000	111.152000
15179	54819	35025	34973	30.358000	109.638000
15269	54606	34906	34969	30.538000	109.212000
15017	55105	35180	34942	30.034000	110.210000
15086	55492	35330	35248	30.172000	110.984000
15459	54766	35039	35186	30.918000	109.532000
15220	54783	35046	34957	30.440000	109.566000
15151	54733	34996	34888	30.302000	109.466000
15124	54600	34706	35018	30.248000	109.200000
15086	55159	34981	35264	30.172000	110.318000
15047	54998	35011	35034	30.094000	109.996000
14896	54797	34743	34950	29.792000	109.594000
15004	54946	35085	34865	30.008000	109.892000
15044	54780	34902	34922	30.088000	109.560000
15218	54601	34856	34963	30.436000	109.202000
14826	55313	35101	35038	29.652000	110.626000
15048	55517	35226	35339	30.096000	111.034000
15249	54638	34998	34889	30.498000	109.276000
15118	54759	35116	34761	30.236000	109.518000
15075	54950	34936	35089	30.150000	109.900000
14926	55481	35219	35188	29.852000	110.962000
14992	55030	34888	35134	29.984000	110.060000
15410	54859	35004	35265	30.820000	109.718000
14970	54679	34799	34850	29.940000	109.358000
15110	55384	35225	35269	30.220000	110.768000
14898	54781	34998	34681	29.796000	109.562000
15127	55076	35024	35179	30.254000	110.152000
15137	54369	34733	34773	30.274000	108.738000
15141	55158	35106	35193	30.282000	110.316000
15199	55327	35489	35037	30.398000	110.654000
15092	55102	35045	35149	30.184000	110.204000
15364	54625	34847	35142	30.728000	109.250000
15107	54726	35029	34804	30.214000	109.452000
15259	54812	35015	35056	30.518000	109.624000
14842	55208	34868	35182	29.684000	110.416000
14869	55456	35268	35057	29.738000	110.912000
15044	54792	34850	34986	30.088000	109.584000
15207	54812	34939	35080	30.414000	109.624000
15183	54999	35012	35170	30.366000	109.998000
14947	54766	34974	34739	29.894000	109.532000
15006	55105	35092	35019	30.012000	110.210000
14959	55383	35061	35281	29.918000	110.766000
15353	54767	35258	34862	30.706000	109.534000
14941	54601	34700	34842	29.882000	109.202000
15227	54638	34945	34920	30.454000	109.276000
15170	54999	35139	35030	30.340000	109.998000
15279	55050	35045	35284	30.558000	110.100000
14931	55157	35077	35011	29.862000	110.314000
15113	55351	35409	35055	30.226000	110.702000
15160	54726	35048	34838	30.320000	109.452000
15159	54884	35355	34688	30.318000	109.768000
15024	54978	34995	35007	30.048000	109.956000
15168	54871	34859	35180	30.336000	109.742000
15175	54863	35001	35037	30.350000	109.726000
15232	54911	34951	35192	30.464000	109.822000
14972	55242	35077	35137	29.944000	110.484000
15118	54699	34881	34936	30.236000	109.398000
15057	55379	35224	35212	30.114000	110.758000
15282	54261	34798	34745	30.564000	108.522000
15158	55201	35288	35071	30.316000	110.402000
15162	55046	35039	35169	30.324000	110.092000
14934	54911	34862	34983	29.868000	109.822000
15009	55396	35276	35129	30.018000	110.792000
15113	54692	34869	34936	30.226000	109.384000
15145	54464	34693	34916	30.290000	108.928000
15146	55073	35023	35196	30.292000	110.146000
15224	54889	35074	35039	30.448000	109.778000
14898	54974	34925	34947	29.796000	109.948000
14901	54982	34804	35079	29.802000	109.964000
15031	54826	34883	34974	30.062000	109.652000
15391	55005	35303	35093	30.782000	110.010000
15379	54837	35198	35018	30.758000	109.674000
15027	55434	35352	35109	30.054000	110.868000
15248	54776	35084	34940	30.496000	109.552000
14955	55041	34929	35067	29.910000	110.082000
15145	54818	34993	34970	30.290000	109.636000
14954	55254	35092	35116	29.908000	110.508000
15114	55171	35208	35077	30.228000	110.342000
15039	55260	35187	35112	30.078000	110.520000
15422	54360	34563	35219	30.844000	108.720000
15242	55123	35217	35148	30.484000	110.246000
15004	54861	34930	34935	30.008000	109.722000
15020	55073	35004	35089	30.040000	110.146000
15174	54494	34819	34849	30.348000	108.988000
15154	54671	34749	35076	30.308000	109.342000
15116	55047	35100	35063	30.232000	110.094000
14911	55482	35282	35111	29.822000	110.964000
14815	55068	34747	35136	29.630000	110.136000
15205	55340	35401	35144	30.410000	110.680000
15462	54460	34945	34977	30.924000	108.920000
14974	55062	34971	35065	29.948000	110.124000
15009	54867	34911	34965	30.018000	109.734000
15107	54939	34991	35055	30.214000	109.878000
15141	54531	34682	34990	30.282000	109.062000
15143	54710	34935	34918	30.286000	109.420000
15055	54618	34646	35027	30.110000	109.236000
15337	54807	35135	35009	30.674000	109.614000
15090	54765	35171	34684	30.180000	109.530000
15395	54696	35031	35060	30.790000	109.392000
14905	55496	35101	35300	29.810000	110.992000
15109	55204	34882	35431	30.218000	110.408000
15448	54562	35003	35007	30.896000	109.124000
15063	55111	35091	35083	30.126000	110.222000
15000	54879	34992	34887	30.000000	109.758000
14982	54883	34833	35032	29.964000	109.766000
15242	54787	35024	35005	30.484000	109.574000
14991	55039	34958	35072	29.982000	110.078000
14920	55193	35135	34978	29.840000	110.386000
15194	54717	34929	34982	30.388000	109.434000
15252	55156	35215	35193	30.504000	110.312000
15210	54488	34781	34917	30.420000	108.976000
15200	54826	34894	35132	30.400000	109.652000
15172	54729	34893	35008	30.344000	109.458000
15307	54479	34794	34992	30.614000	108.958000
15051	54639	34942	34748	30.102000	109.278000
14878	54929	34838	34969	29.756000	109.858000
15129	54622	34885	34866	30.258000	109.244000
15262	54688	35296	34654	30.524000	109.376000
15123	54562	34756	34929	30.246000	109.124000
15095	54898	35147	34846	30.190000	109.796000
15281	55058	35120	35219	30.562000	110.116000
15284	54604	34990	34898	30.568000	109.208000
15467	54801	35109	35159	30.934000	109.602000
15081	55007	34961	35127	30.162000	110.014000
15124	55376	35336	35164	30.248000	110.752000
15110	55018	35078	35050	30.220000	110.036000
14857	55163	35049	34971	29.714000	110.326000
14764	55018	34872	34910	29.528000	110.036000
14994	55042	35054	34982	29.988000	110.084000
15180	54555	34939	34796	30.360000	109.110000
15053	54986	35212	34827	30.106000	109.972000
15031	54439	34511	34959	30.062000	108.878000
15281	54666	35001	34946	30.562000	109.332000
14931	55198	35092	35037	29.862000	110.396000
15082	55138	35209	35011	30.164000	110.276000
15203	54373	34847	34729	30.406000	108.746000
15119	54908	34970	35057	30.238000	109.816000
15211	55261	35271	35201	30.422000	110.522000
15176	54861	34873	35164	30.352000	109.722000
15080	54735	35028	34787	30.160000	109.470000
14904	54925	34925	34904	29.808000	109.850000
15285	54915	34957	35243	30.570000	109.830000
14894	54891	34909	34876	29.788000	109.782000
15121	54910	35058	34973	30.242000	109.820000
15104	55397	35323	35178	30.208000	110.794000
15047	55267	35095	35219	30.094000	110.534000
15026	54881	34899	35008	30.052000	109.762000
15101	54971	35088	34984	30.202000	109.942000
15239	54837	34899	35177	30.478000	109.674000
15006	55048	35107	34947	30.012000	110.096000
14995	55076	35175	34896	29.990000	110.152000
15215	55081	35060	35236	30.430000	110.162000
14994	55191	34915	35270	29.988000	110.382000
15214	54715	35010	34919	30.428000	109.430000
15465	54583	34979	35069	30.930000	109.166000
15263	54478	34886	34855	30.526000	108.956000
15094	55185	34975	35304	30.188000	110.370000
15275	54633	34907	35001	30.550000	109.266000
15214	54929	35033	35110	30.428000	109.858000
15040	54650	34928	34762	30.080000	109.300000
15299	55257	35213	35343	30.598000	110.514000
15351	54219	34897	34673	30.702000	108.438000
14768	54843	34733	34878	29.536000	109.686000
15176	54969	35004	35141	30.352000	109.938000
15306	54576	34779	35103	30.612000	109.152000
15064	54604	34807	34861	30.128000	109.208000
15021	54669	34930	34760	30.042000	109.338000
15097	55436	35323	35210	30.194000	110.872000
15032	55246	35086	35192	30.064000	110.492000
15247	55521	35347	35421	30.494000	111.042000
15170	54665	35031	34804	30.340000	109.330000
15176	55090	35105	35161	30.352000	110.180000
15053	54659	35078	34634	30.106000	109.318000
15061	55333	35270	35124	30.122000	110.666000
14876	55056	34995	34937	29.752000	110.112000
15180	55263	35212	35231	30.360000	110.526000
