10x10 grid, p = 0.5, f = 0.25, 2500 steps
Ma D	Mi D	s+	s-
17930	62679	7.172000	25.071600
17555	62315	7.022000	24.926000
17827	62422	7.130800	24.968800
17752	62300	7.100800	24.920000
17742	62263	7.096800	24.905200
17742	62347	7.096800	24.938800
18030	62396	7.212000	24.958400
17801	62470	7.120400	24.988000
17833	63025	7.133200	25.210000
18005	62159	7.202000	24.863600
17824	62557	7.129600	25.022800
17630	63145	7.052000	25.258000
17769	62476	7.107600	24.990400
17592	61796	7.036800	24.718400
18001	62272	7.200400	24.908800
17847	62472	7.138800	24.988800
17672	62577	7.068800	25.030800
18098	62641	7.239200	25.056400
18060	62391	7.224000	24.956400
17613	62493	7.045200	24.997200
17638	62159	7.055200	24.863600
17981	62576	7.192400	25.030400
17991	61710	7.196400	24.684000
18085	62111	7.234000	24.844400
17651	61839	7.060400	24.735600
18350	62242	7.340000	24.896800
18134	62530	7.253600	25.012000
17647	62952	7.058800	25.180800
17930	62724	7.172000	25.089600
17692	62617	7.076800	25.046800
17984	62788	7.193600	25.115200
17837	62386	7.134800	24.954400
17928	61957	7.171200	24.782800
17826	62190	7.130400	24.876000
17621	61914	7.048400	24.765600
18103	61542	7.241200	24.616800
17950	61824	7.180000	24.729600
17962	62365	7.184800	24.946000
18278	62017	7.311200	24.806800
17652	62871	7.060800	25.148400
17667	62148	7.066800	24.859200
17867	61967	7.146800	24.786800
17848	62212	7.139200	24.884800
17791	62850	7.116400	25.140000
17859	62086	7.143600	24.834400
17670	62712	7.068000	25.084800
18193	61906	7.277200	24.762400
18028	62428	7.211200	24.971200
17537	62149	7.014800	24.859600
17769	62649	7.107600	25.059600
17621	62740	7.048400	25.096000
17884	63099	7.153600	25.239600
17747	62354	7.098800	24.941600
18075	62176	7.230000	24.870400
17924	62593	7.169600	25.037200
17519	62855	7.007600	25.142000
17926	62181	7.170400	24.872400
18070	61993	7.228000	24.797200
17555	61870	7.022000	24.748000
17772	62353	7.108800	24.941200
17890	61810	7.156000	24.724000
17857	61943	7.142800	24.777200
17637	61906	7.054800	24.762400
17726	62580	7.090400	25.032000
17808	62447	7.123200	24.978800
17844	62254	7.137600	24.901600
17741	62583	7.096400	25.033200
18042	61461	7.216800	24.584400
18163	62228	7.265200	24.891200
17838	62625	7.135200	25.050000
17986	61950	7.194400	24.780000
17719	63049	7.087600	25.219600
17747	62967	7.098800	25.186800
17546	61949	7.018400	24.779600
17762	62750	7.104800	25.100000
17722	62678	7.088800	25.071200
17580	62709	7.032000	25.083600
17786	62063	7.114400	24.825200
18010	62596	7.204000	25.038400
17783	62320	7.113200	24.928000
17685	62460	7.074000	24.984000
17997	62262	7.198800	24.904800
17707	62371	7.082800	24.948400
17936	61969	7.174400	24.787600
17590	63217	7.036000	25.286800
18026	62134	7.210400	24.853600
17712	62236	7.084800	24.894400
17653	61681	7.061200	24.672400
17813	62027	7.125200	24.810800
17690	62278	7.076000	24.911200
18024	61910	7.209600	24.764000
17878	61894	7.151200	24.757600
17606	62428	7.042400	24.971200
17782	62330	7.112800	24.932000
17632	62162	7.052800	24.864800
17808	62573	7.123200	25.029200
17795	62364	7.118000	24.945600
17880	62930	7.152000	25.172000
17826	61791	7.130400	24.716400
17945	62231	7.178000	24.892400
17952	61664	7.180800	24.665600
17993	62210	7.197200	24.884000
17671	61943	7.068400	24.777200
17685	62460	7.074000	24.984000
17710	62321	7.084000	24.928400
17988	62529	7.195200	25.011600
17619	62513	7.047600	25.005200
17544	62845	7.017600	25.138000
18193	61992	7.277200	24.796800
17757	62093	7.102800	24.837200
17667	61805	7.066800	24.722000
17887	62240	7.154800	24.896000
17812	62705	7.124800	25.082000
18162	62782	7.264800	25.112800
17671	62388	7.068400	24.955200
17685	62187	7.074000	24.874800
17930	61992	7.172000	24.796800
17548	62185	7.019200	24.874000
17546	61927	7.018400	24.770800
17878	62480	7.151200	24.992000
17701	62655	7.080400	25.062000
17520	62425	7.008000	24.970000
17755	61964	7.102000	24.785600
17876	62825	7.150400	25.130000
17772	62638	7.108800	25.055200
18173	62270	7.269200	24.908000
17739	62494	7.095600	24.997600
17639	62456	7.055600	24.982400
17430	62371	6.972000	24.948400
18017	62262	7.206800	24.904800
17766	61856	7.106400	24.742400
17469	62388	6.987600	24.955200
17900	61772	7.160000	24.708800
17765	62713	7.106000	25.085200
17790	62136	7.116000	24.854400
18123	61804	7.249200	24.721600
18196	62041	7.278400	24.816400
18041	62830	7.216400	25.132000
17758	62670	7.103200	25.068000
17789	62385	7.115600	24.954000
17902	62185	7.160800	24.874000
18144	62778	7.257600	25.111200
17475	62066	6.990000	24.826400
17630	62375	7.052000	24.950000
17549	62883	7.019600	25.153200
17709	62618	7.083600	25.047200
17968	62122	7.187200	24.848800
17527	62461	7.010800	24.984400
17664	62903	7.065600	25.161200
17645	62593	7.058000	25.037200
17771	62746	7.108400	25.098400
17686	62185	7.074400	24.874000
17813	61629	7.125200	24.651600
17952	61939	7.180800	24.775600
17793	61681	7.117200	24.672400
17683	62085	7.073200	24.834000
17667	62367	7.066800	24.946800
17868	62701	7.147200	25.080400
17680	61701	7.072000	24.680400
18024	62616	7.209600	25.046400
17551	61845	7.020400	24.738000
17935	61598	7.174000	24.639200
17724	62696	7.089600	25.078400
18112	61704	7.244800	24.681600
17676	61540	7.070400	24.616000
17717	62939	7.086800	25.175600
17796	62820	7.118400	25.128000
17736	62084	7.094400	24.833600
18004	62631	7.201600	25.052400
17929	62278	7.171600	24.911200
17892	62099	7.156800	24.839600
17766	62011	7.106400	24.804400
18083	62507	7.233200	25.002800
17785	62147	7.114000	24.858800
17889	62253	7.155600	24.901200
17879	62052	7.151600	24.820800
17741	62297	7.096400	24.918800
17722	61957	7.088800	24.782800
17856	62057	7.142400	24.822800
17720	62343	7.088000	24.937200
17864	62657	7.145600	25.062800
17959	61711	7.183600	24.684400
17733	62705	7.093200	25.082000
17983	61952	7.193200	24.780800
17785	62130	7.114000	24.852000
17814	62334	7.125600	24.933600
17852	62178	7.140800	24.871200
17942	62896	7.176800	25.158400
18109	62138	7.243600	24.855200
17859	62259	7.143600	24.903600
18060	62477	7.224000	24.990800
18149	62131	7.259600	24.852400
18005	62278	7.202000	24.911200
17644	62253	7.057600	24.901200
18130	61471	7.252000	24.588400
17926	61777	7.170400	24.710800
18093	62370	7.237200	24.948000
17858	62416	7.143200	24.966400
17790	61995	7.116000	24.798000
17872	62250	7.148800	24.900000
17733	62161	7.093200	24.864400
17762	62439	7.104800	24.975600
17850	62048	7.140000	24.819200
18071	62170	7.228400	24.868000
17990	62586	7.196000	25.034400
17536	62250	7.014400	24.900000
17813	62157	7.125200	24.862800
17755	62548	7.102000	25.019200
18029	61859	7.211600	24.743600
17511	62475	7.004400	24.990000
17605	62552	7.042000	25.020800
17786	61933	7.114400	24.773200
17784	62822	7.113600	25.128800
18119	62749	7.247600	25.099600
17668	62142	7.067200	24.856800
17707	61732	7.082800	24.692800
17681	62739	7.072400	25.095600
17785	62288	7.114000	24.915200
18084	61713	7.233600	24.685200
17919	62470	7.167600	24.988000
17807	62318	7.122800	24.927200
17795	62645	7.118000	25.058000
17816	61787	7.126400	24.714800
17925	62816	7.170000	25.126400
17884	61911	7.153600	24.764400
17709	62192	7.083600	24.876800
17966	62789	7.186400	25.115600
17832	62439	7.132800	24.975600
17958	62928	7.183200	25.171200
18052	62066	7.220800	24.826400
18188	62370	7.275200	24.948000
17836	62340	7.134400	24.936000
17798	62155	7.119200	24.862000
17834	62869	7.133600	25.147600
18191	62417	7.276400	24.966800
17948	62726	7.179200	25.090400
17935	62208	7.174000	24.883200
17874	62251	7.149600	24.900400
18038	62167	7.215200	24.866800
17824	62193	7.129600	24.877200
18143	62562	7.257200	25.024800
17787	62118	7.114800	24.847200
17869	62211	7.147600	24.884400
17925	62775	7.170000	25.110000
