20x20 grid, p = 0.3, f = 0.7, 500 steps
-e Ma D	Mi D	Red D	 Blue D	s+	s-
36088	11709	23898	23899	72.176000	23.418000
36191	12002	24021	24172	72.382000	24.004000
35895	11888	23674	24109	71.790000	23.776000
35987	11952	23984	23955	71.974000	23.904000
36164	11841	24032	23973	72.328000	23.682000
36046	12036	24034	24048	72.092000	24.072000
35984	11985	23998	23971	71.968000	23.970000
35992	11652	23899	23745	71.984000	23.304000
36070	11898	23973	23995	72.140000	23.796000
36037	11755	23980	23812	72.074000	23.510000
36090	11812	23866	24036	72.180000	23.624000
35959	11846	23844	23961	71.918000	23.692000
35978	11812	23758	24032	71.956000	23.624000
35989	11885	23916	23958	71.978000	23.770000
36361	11764	24038	24087	72.722000	23.528000
36004	11962	24122	23844	72.008000	23.924000
36145	11714	23813	24046	72.290000	23.428000
36084	11890	24013	23961	72.168000	23.780000
35890	11896	23927	23859	71.780000	23.792000
36139	11855	23901	24093	72.278000	23.710000
36162	11949	23974	24137	72.324000	23.898000
36066	12027	24123	23970	72.132000	24.054000
35950	12034	23998	23986	71.900000	24.068000
35828	11918	23937	23809	71.656000	23.836000
36269	12039	24213	24095	72.538000	24.078000
35965	12160	24042	24083	71.930000	24.320000
36330	11790	24094	24026	72.660000	23.580000
35883	11964	23988	23859	71.766000	23.928000
35834	12008	23804	24038	71.668000	24.016000
35943	11860	24009	23794	71.886000	23.720000
36068	11867	24017	23918	72.136000	23.734000
36326	11660	24005	23981	72.652000	23.320000
35938	11926	23907	23957	71.876000	23.852000
36292	11625	23864	24053	72.584000	23.250000
35932	11814	23952	23794	71.864000	23.628000
35839	11823	23692	23970	71.678000	23.646000
36117	11721	24028	23810	72.234000	23.442000
36040	11920	23865	24095	72.080000	23.840000
35934	12144	24152	23926	71.868000	24.288000
36024	11848	23927	23945	72.048000	23.696000
36155	12041	24154	24042	72.310000	24.082000
35937	11989	23952	23974	71.874000	23.978000
35985	11894	23943	23936	71.970000	23.788000
35719	12189	24003	23905	71.438000	24.378000
36495	11906	24117	24284	72.990000	23.812000
35648	12027	23865	23810	71.296000	24.054000
36289	11874	24005	24158	72.578000	23.748000
35842	11977	23695	24124	71.684000	23.954000
36003	11766	23912	23857	72.006000	23.532000
36041	11937	24000	23978	72.082000	23.874000
36329	11890	24074	24145	72.658000	23.780000
36016	12065	24152	23929	72.032000	24.130000
36175	11840	24030	23985	72.350000	23.680000
36337	12122	24174	24285	72.674000	24.244000
35881	11926	23879	23928	71.762000	23.852000
36110	11826	23859	24077	72.220000	23.652000
35906	12015	24010	23911	71.812000	24.030000
36292	11841	24100	24033	72.584000	23.682000
35964	11748	23862	23850	71.928000	23.496000
36106	11870	23934	24042	72.212000	23.740000
36135	11923	24068	23990	72.270000	23.846000
35840	11893	23868	23865	71.680000	23.786000
36244	11975	24011	24208	72.488000	23.950000
36332	11946	24181	24097	72.664000	23.892000
36206	11954	24211	23949	72.412000	23.908000
35956	11972	23952	23976	71.912000	23.944000
36007	11938	23971	23974	72.014000	23.876000
35726	12082	23728	24080	71.452000	24.164000
36371	11816	23930	24257	72.742000	23.632000
36130	11845	23836	24139	72.260000	23.690000
36253	11767	24008	24012	72.506000	23.534000
35693	12007	23790	23910	71.386000	24.014000
35944	11765	23909	23800	71.888000	23.530000
36089	11939	23896	24132	72.178000	23.878000
36129	11825	24103	23851	72.258000	23.650000
36053	11909	24184	23778	72.106000	23.818000
35767	11961	23852	23876	71.534000	23.922000
35818	11859	23947	23730	71.636000	23.718000
35844	11950	23938	23856	71.688000	23.900000
35977	11842	24070	23749	71.954000	23.684000
36045	12051	23975	24121	72.090000	24.102000
36064	11965	23863	24166	72.128000	23.930000
35676	11963	23793	23846	71.352000	23.926000
36176	12142	24150	24168	72.352000	24.284000
36074	11932	23962	24044	72.148000	23.864000
35916	12043	24034	23925	71.832000	24.086000
35931	11817	23850	23898	71.862000	23.634000
36380	11881	24079	24182	72.760000	23.762000
35681	11915	23773	23823	71.362000	23.830000
35792	11928	24002	23718	71.584000	23.856000
36022	11952	24013	23961	72.044000	23.904000
36141	11920	23963	24098	72.282000	23.840000
35854	12053	24031	23876	71.708000	24.106000
35927	11826	23947	23806	71.854000	23.652000
35528	12029	23892	23665	71.056000	24.058000
35825	11967	24065	23727	71.650000	23.934000
35717	11853	23958	23612	71.434000	23.706000
36378	11907	24228	24057	72.756000	23.814000
36212	11938	24068	24082	72.424000	23.876000
36083	11771	23987	23867	72.166000	23.542000
36172	11812	23909	24075	72.344000	23.624000
35994	12045	23921	24118	71.988000	24.090000
35941	12048	24145	23844	71.882000	24.096000
35983	11845	23943	23885	71.966000	23.690000
35833	11745	23818	23760	71.666000	23.490000
35782	12033	23939	23876	71.564000	24.066000
36126	11865	24030	23961	72.252000	23.730000
36087	11786	23788	24085	72.174000	23.572000
35764	12023	23877	23910	71.528000	24.046000
35768	11974	23782	23960	71.536000	23.948000
36073	12070	24049	24094	72.146000	24.140000
35974	11948	23798	24124	71.948000	23.896000
35801	11996	24083	23714	71.602000	23.992000
36154	11709	24011	23852	72.308000	23.418000
35810	11936	23850	23896	71.620000	23.872000
36047	11876	23944	23979	72.094000	23.752000
35971	11814	23930	23855	71.942000	23.628000
36076	12058	24270	23864	72.152000	24.116000
35878	11896	23851	23923	71.756000	23.792000
35914	11884	23863	23935	71.828000	23.768000
36178	11627	23937	23868	72.356000	23.254000
35944	11850	23973	23821	71.888000	23.700000
35887	11818	23970	23735	71.774000	23.636000
36290	11902	24216	23976	72.580000	23.804000
35875	11905	23899	23881	71.750000	23.810000
36259	11808	24090	23977	72.518000	23.616000
36238	11767	24126	23879	72.476000	23.534000
36206	12004	24072	24138	72.412000	24.008000
36354	11722	24051	24025	72.708000	23.444000
36181	11998	24054	24125	72.362000	23.996000
36361	11923	24074	24210	72.722000	23.846000
35797	11923	23848	23872	71.594000	23.846000
36064	11869	24084	23849	72.128000	23.738000
36025	11866	23930	23961	72.050000	23.732000
35822	12087	23947	23962	71.644000	24.174000
36108	11837	24044	23901	72.216000	23.674000
36362	11908	24100	24170	72.724000	23.816000
35892	11907	24019	23780	71.784000	23.814000
35846	11926	23897	23875	71.692000	23.852000
36037	11841	23962	23916	72.074000	23.682000
36105	11858	23944	24019	72.210000	23.716000
35997	11912	23986	23923	71.994000	23.824000
36167	11911	23905	24173	72.334000	23.822000
36059	11908	23977	23990	72.118000	23.816000
35930	12055	23992	23993	71.860000	24.110000
36116	11958	24167	23907	72.232000	23.916000
36397	11816	24029	24184	72.794000	23.632000
35805	11844	23877	23772	71.610000	23.688000
36320	11907	23988	24239	72.640000	23.814000
35857	11711	23729	23839	71.714000	23.422000
36228	11785	24073	23940	72.456000	23.570000
36193	11889	24088	23994	72.386000	23.778000
36273	11858	24043	24088	72.546000	23.716000
35931	11952	23961	23922	71.862000	23.904000
35893	11909	23905	23897	71.786000	23.818000
36125	11885	24063	23947	72.250000	23.770000
36018	11944	23963	23999	72.036000	23.888000
36117	11915	24170	23862	72.234000	23.830000
36185	11794	24052	23927	72.370000	23.588000
35964	12000	24050	23914	71.928000	24.000000
35807	11943	23817	23933	71.614000	23.886000
35813	11784	23914	23683	71.626000	23.568000
36322	11836	24032	24126	72.644000	23.672000
35878	12062	23892	24048	71.756000	24.124000
36348	11999	24125	24222	72.696000	23.998000
36102	11800	23769	24133	72.204000	23.600000
35704	11958	23867	23795	71.408000	23.916000
35967	11992	24005	23954	71.934000	23.984000
35800	11841	23727	23914	71.600000	23.682000
36026	11851	23843	24034	72.052000	23.702000
35880	12041	23967	23954	71.760000	24.082000
35883	11802	23853	23832	71.766000	23.604000
36072	11751	23921	23902	72.144000	23.502000
36691	11895	24330	24256	73.382000	23.790000
36189	11958	24049	24098	72.378000	23.916000
36093	11917	23950	24060	72.186000	23.834000
35868	11846	23908	23806	71.736000	23.692000
35956	11792	23853	23895	71.912000	23.584000
36229	11840	24032	24037	72.458000	23.680000
36105	11886	24010	23981	72.210000	23.772000
35847	12039	24058	23828	71.694000	24.078000
36030	11894	23994	23930	72.060000	23.788000
35759	11845	23755	23849	71.518000	23.690000
36392	11960	24183	24169	72.784000	23.920000
35775	11942	23862	23855	71.550000	23.884000
36084	11832	24003	23913	72.168000	23.664000
36304	11859	24077	24086	72.608000	23.718000
35899	11988	23983	23904	71.798000	23.976000
36193	11890	23948	24135	72.386000	23.780000
35839	11944	23884	23899	71.678000	23.888000
35595	11915	23727	23783	71.190000	23.830000
36138	11996	24120	24014	72.276000	23.992000
