20x20 grid, p = 0.43, f = 0.02, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
932	74937	37890	37979	1.864000	149.874000
958	74223	37548	37633	1.916000	148.446000
849	75289	38148	37990	1.698000	150.578000
896	75222	38198	37920	1.792000	150.444000
859	74786	37825	37820	1.718000	149.572000
856	74823	37920	37759	1.712000	149.646000
885	74531	37625	37791	1.770000	149.062000
908	74981	37967	37922	1.816000	149.962000
937	74601	37756	37782	1.874000	149.202000
891	74887	37865	37913	1.782000	149.774000
853	74690	37821	37722	1.706000	149.380000
874	74918	37899	37893	1.748000	149.836000
906	74881	37880	37907	1.812000	149.762000
892	74487	37717	37662	1.784000	148.974000
938	74377	37650	37665	1.876000	148.754000
911	74236	37472	37675	1.822000	148.472000
882	74940	37817	38005	1.764000	149.880000
912	74861	37843	37930	1.824000	149.722000
900	75078	37905	38073	1.800000	150.156000
941	74917	37831	38027	1.882000	149.834000
886	74448	37641	37693	1.772000	148.896000
877	74578	37590	37865	1.754000	149.156000
907	74148	37573	37482	1.814000	148.296000
903	75002	37977	37928	1.806000	150.004000
884	74843	38007	37720	1.768000	149.686000
863	74952	37965	37850	1.726000	149.904000
910	75044	37832	38122	1.820000	150.088000
885	75808	38266	38427	1.770000	151.616000
888	74397	37749	37536	1.776000	148.794000
863	75334	38130	38067	1.726000	150.668000
924	74785	37868	37841	1.848000	149.570000
882	75433	38022	38293	1.764000	150.866000
898	74131	37347	37682	1.796000	148.262000
869	74156	37310	37715	1.738000	148.312000
915	74613	37929	37599	1.830000	149.226000
896	74588	37683	37801	1.792000	149.176000
885	75210	38177	37918	1.770000	150.420000
930	73939	37453	37416	1.860000	147.878000
916	74469	37659	37726	1.832000	148.938000
990	75098	38095	37993	1.980000	150.196000
880	74888	37705	38063	1.760000	149.776000
913	75055	37842	38126	1.826000	150.110000
889	75327	38004	38212	1.778000	150.654000
920	74539	37781	37678	1.840000	149.078000
921	74816	37897	37840	1.842000	149.632000
917	74756	37680	37993	1.834000	149.512000
891	73933	37372	37452	1.782000	147.866000
882	74946	37786	38042	1.764000	149.892000
837	75428	38109	38156	1.674000	150.856000
912	74547	37790	37669	1.824000	149.094000
926	74456	37753	37629	1.852000	148.912000
885	74994	37955	37924	1.770000	149.988000
903	74569	37587	37885	1.806000	149.138000
956	74170	37567	37559	1.912000	148.340000
836	75426	38085	38177	1.672000	150.852000
868	74425	37531	37762	1.736000	148.850000
847	73462	37307	37002	1.694000	146.924000
887	74953	37903	37937	1.774000	149.906000
892	74309	37655	37546	1.784000	148.618000
934	74424	37682	37676	1.868000	148.848000
934	74304	37726	37512	1.868000	148.608000
879	74717	37831	37765	1.758000	149.434000
868	74719	37700	37887	1.736000	149.438000
869	74237	37497	37609	1.738000	148.474000
910	74626	37734	37802	1.820000	149.252000
836	74969	37925	37880	1.672000	149.938000
882	74109	37606	37385	1.764000	148.218000
849	74898	37883	37864	1.698000	149.796000
938	74264	37689	37513	1.876000	148.528000
891	74433	37627	37697	1.782000	148.866000
875	74811	38014	37672	1.750000	149.622000
893	74430	37450	37873	1.786000	148.860000
882	74530	37648	37764	1.764000	149.060000
934	74663	37769	37828	1.868000	149.326000
931	74760	37919	37772	1.862000	149.520000
906	75014	37951	37969	1.812000	150.028000
876	74895	37740	38031	1.752000	149.790000
924	74792	37860	37856	1.848000	149.584000
925	73883	37322	37486	1.850000	147.766000
