10x10 grid, p = 0.03, f = 0.21, 1000 steps
Ma D	Mi D	s+	s-
408	1602	0.408000	1.602000
408	1636	0.408000	1.636000
411	1549	0.411000	1.549000
431	1663	0.431000	1.663000
438	1809	0.438000	1.809000
415	1599	0.415000	1.599000
419	1642	0.419000	1.642000
402	1605	0.402000	1.605000
403	1768	0.403000	1.768000
434	1584	0.434000	1.584000
448	1626	0.448000	1.626000
425	1643	0.425000	1.643000
404	1671	0.404000	1.671000
467	1667	0.467000	1.667000
416	1596	0.416000	1.596000
359	1600	0.359000	1.600000
396	1632	0.396000	1.632000
449	1715	0.449000	1.715000
402	1644	0.402000	1.644000
386	1631	0.386000	1.631000
456	1677	0.456000	1.677000
435	1615	0.435000	1.615000
403	1677	0.403000	1.677000
449	1727	0.449000	1.727000
440	1708	0.440000	1.708000
395	1605	0.395000	1.605000
434	1638	0.434000	1.638000
427	1622	0.427000	1.622000
455	1666	0.455000	1.666000
406	1600	0.406000	1.600000
467	1646	0.467000	1.646000
447	1609	0.447000	1.609000
446	1660	0.446000	1.660000
430	1649	0.430000	1.649000
447	1725	0.447000	1.725000
455	1681	0.455000	1.681000
409	1583	0.409000	1.583000
417	1601	0.417000	1.601000
381	1530	0.381000	1.530000
376	1498	0.376000	1.498000
421	1571	0.421000	1.571000
470	1624	0.470000	1.624000
396	1534	0.396000	1.534000
441	1812	0.441000	1.812000
463	1706	0.463000	1.706000
433	1622	0.433000	1.622000
444	1714	0.444000	1.714000
469	1716	0.469000	1.716000
414	1613	0.414000	1.613000
428	1658	0.428000	1.658000
411	1688	0.411000	1.688000
441	1723	0.441000	1.723000
397	1664	0.397000	1.664000
440	1703	0.440000	1.703000
420	1749	0.420000	1.749000
421	1652	0.421000	1.652000
421	1752	0.421000	1.752000
429	1840	0.429000	1.840000
389	1546	0.389000	1.546000
427	1639	0.427000	1.639000
372	1690	0.372000	1.690000
439	1670	0.439000	1.670000
419	1730	0.419000	1.730000
382	1651	0.382000	1.651000
403	1657	0.403000	1.657000
456	1703	0.456000	1.703000
392	1627	0.392000	1.627000
457	1586	0.457000	1.586000
427	1599	0.427000	1.599000
408	1691	0.408000	1.691000
483	1742	0.483000	1.742000
413	1618	0.413000	1.618000
394	1634	0.394000	1.634000
432	1593	0.432000	1.593000
408	1610	0.408000	1.610000
426	1646	0.426000	1.646000
473	1651	0.473000	1.651000
407	1707	0.407000	1.707000
