20x20 grid, p = 0.7, redf = 0.4, bluef = 0.2, 500 steps
Ma D	Mi D	Red D	 Blue D	red s+	blue s+	s-
21005	63364	41381	42988	27.890000	14.120000	126.728000
21405	63459	41786	43078	28.364000	14.446000	126.918000
21060	63240	41457	42843	27.990000	14.130000	126.480000
21042	62635	41181	42496	28.116000	13.968000	125.270000
20900	62779	41255	42424	28.062000	13.738000	125.558000
21141	63045	41413	42773	28.108000	14.174000	126.090000
20788	62634	41113	42309	27.728000	13.848000	125.268000
20867	62201	40995	42073	27.968000	13.766000	124.402000
21242	62948	41304	42886	28.184000	14.300000	125.896000
21258	63601	41805	43054	28.272000	14.244000	127.202000
20786	62097	41029	41854	28.070000	13.502000	124.194000
20846	63105	41461	42490	27.756000	13.936000	126.210000
21039	63060	41418	42681	28.164000	13.914000	126.120000
21573	63315	41640	43248	28.504000	14.642000	126.630000
21299	62528	41312	42515	28.338000	14.260000	125.056000
20950	62622	41184	42388	28.014000	13.886000	125.244000
21537	64256	42218	43575	28.430000	14.644000	128.512000
20724	63212	41306	42630	27.728000	13.720000	126.424000
20939	62880	41185	42634	27.976000	13.902000	125.760000
21286	63915	41885	43316	28.142000	14.430000	127.830000
21476	63568	41840	43204	28.410000	14.542000	127.136000
21233	63714	41675	43272	28.074000	14.392000	127.428000
21099	63197	41643	42653	28.020000	14.178000	126.394000
20991	61998	40820	42169	28.102000	13.880000	123.996000
20997	62911	41364	42544	28.058000	13.936000	125.822000
21152	62478	41211	42419	28.216000	14.088000	124.956000
21315	62697	41418	42594	28.258000	14.372000	125.394000
21023	61829	40756	42096	28.094000	13.952000	123.658000
21199	62653	41174	42678	28.064000	14.334000	125.306000
21237	62507	41171	42573	28.284000	14.190000	125.014000
21351	63962	41804	43509	28.278000	14.424000	127.924000
21381	62731	41495	42617	28.352000	14.410000	125.462000
21497	62787	41398	42886	28.546000	14.448000	125.574000
20730	63237	41169	42798	27.500000	13.960000	126.474000
21291	62512	41332	42471	28.398000	14.184000	125.024000
20902	62963	41183	42682	27.900000	13.904000	125.926000
20817	62678	41131	42364	27.960000	13.674000	125.356000
21106	63092	41326	42872	27.884000	14.328000	126.184000
20904	63513	41568	42849	27.692000	14.116000	127.026000
21546	63661	41859	43348	28.350000	14.742000	127.322000
21008	61529	40484	42053	27.950000	14.066000	123.058000
20948	63854	41813	42989	27.866000	14.030000	127.708000
20824	62735	41195	42364	27.938000	13.710000	125.470000
21620	64046	41910	43756	28.450000	14.790000	128.092000
21111	63430	41629	42912	28.050000	14.172000	126.860000
21149	62897	41361	42685	28.078000	14.220000	125.794000
20844	63555	41422	42977	27.662000	14.026000	127.110000
20880	62462	41055	42287	27.862000	13.898000	124.924000
20838	63578	41694	42722	27.912000	13.764000	127.156000
20595	62340	40971	41964	27.552000	13.638000	124.680000
21197	63162	41469	42890	28.166000	14.228000	126.324000
20626	61309	40462	41473	27.768000	13.484000	122.618000
21122	63574	41722	42974	27.992000	14.252000	127.148000
20752	63275	41332	42695	27.460000	14.044000	126.550000
20864	63211	41388	42687	27.770000	13.958000	126.422000
21053	62823	41430	42446	28.118000	13.988000	125.646000
21052	61730	40718	42064	28.196000	13.908000	123.460000
21435	62675	41336	42774	28.340000	14.530000	125.350000
21188	62205	41039	42354	28.258000	14.118000	124.410000
21232	63830	41842	43220	28.120000	14.344000	127.660000
20984	63523	41446	43061	27.966000	14.002000	127.046000
21032	63352	41411	42973	27.718000	14.346000	126.704000
20900	63674	41562	43012	27.664000	14.136000	127.348000
20758	62542	41174	42126	27.736000	13.780000	125.084000
20938	63678	41570	43046	27.830000	14.046000	127.356000
21220	63219	41441	42998	28.074000	14.366000	126.438000
20702	63029	41227	42504	27.724000	13.680000	126.058000
21178	63399	41508	43069	28.354000	14.002000	126.798000
20919	62796	41169	42546	28.034000	13.804000	125.592000
20514	63031	41289	42256	27.354000	13.674000	126.062000
20925	62619	41176	42368	27.806000	14.044000	125.238000
20975	63120	41564	42531	27.890000	14.060000	126.240000
20990	62803	41205	42588	27.952000	14.028000	125.606000
20963	62407	40929	42441	27.980000	13.946000	124.814000
21121	63262	41523	42860	28.020000	14.222000	126.524000
21383	61812	40966	42229	28.450000	14.316000	123.624000
21178	63125	41457	42846	28.028000	14.328000	126.250000
21013	62435	41187	42261	27.954000	14.072000	124.870000
21062	63400	41299	43163	28.014000	14.110000	126.800000
21104	63415	41488	43031	27.944000	14.264000	126.830000
21402	63439	41665	43176	28.404000	14.400000	126.878000
20855	63767	41583	43039	27.790000	13.920000	127.534000
21240	63412	41565	43087	28.066000	14.414000	126.824000
20976	64371	41701	43646	27.664000	14.288000	128.742000
20998	63359	41452	42905	28.040000	13.956000	126.718000
21070	62539	41097	42512	27.918000	14.222000	125.078000
21345	62744	41521	42568	28.288000	14.402000	125.488000
21403	63527	41705	43225	28.426000	14.380000	127.054000
21049	62392	41077	42364	27.864000	14.234000	124.784000
21118	62401	41283	42236	28.054000	14.182000	124.802000
20742	62786	41071	42457	27.504000	13.980000	125.572000
20874	62992	41274	42592	27.868000	13.880000	125.984000
21084	62804	41151	42737	28.004000	14.164000	125.608000
21342	62990	41478	42854	28.262000	14.422000	125.980000
20535	62373	40848	42060	27.474000	13.596000	124.746000
20797	63363	41367	42793	27.638000	13.956000	126.726000
20985	63453	41515	42923	27.890000	14.080000	126.906000
20866	63090	41394	42562	27.650000	14.082000	126.180000
21365	63259	41687	42937	28.240000	14.490000	126.518000
21094	63662	41762	42994	27.938000	14.250000	127.324000
20952	63546	41517	42981	27.926000	13.978000	127.092000
20907	63347	41266	42988	27.872000	13.942000	126.694000
21152	62485	41300	42337	28.252000	14.052000	124.970000
20931	62481	41096	42316	27.968000	13.894000	124.962000
20900	63342	41332	42910	27.768000	14.032000	126.684000
21531	63463	41784	43210	28.536000	14.526000	126.926000
21283	63604	41640	43247	28.042000	14.524000	127.208000
20912	61861	40725	42048	27.872000	13.952000	123.722000
21049	63262	41479	42832	28.012000	14.086000	126.524000
21062	63430	41436	43056	28.140000	13.984000	126.860000
21064	62399	41090	42373	28.010000	14.118000	124.798000
20629	63381	41112	42898	27.450000	13.808000	126.762000
21421	64258	42043	43636	28.380000	14.462000	128.516000
20817	62511	41045	42283	27.782000	13.852000	125.022000
21214	62666	41437	42443	28.284000	14.144000	125.332000
21113	63468	41624	42957	27.984000	14.242000	126.936000
20859	61811	40690	41980	27.856000	13.862000	123.622000
20888	62719	41252	42355	27.820000	13.956000	125.438000
21095	63721	41846	42970	27.968000	14.222000	127.442000
20844	62844	41305	42383	27.844000	13.844000	125.688000
21451	62709	41325	42835	28.446000	14.456000	125.418000
20271	61970	40623	41618	27.408000	13.134000	123.940000
21254	62744	41408	42590	28.244000	14.264000	125.488000
20988	63096	41192	42892	27.956000	14.020000	126.192000
20771	62948	41126	42593	27.658000	13.884000	125.896000
21102	63674	41670	43106	27.944000	14.260000	127.348000
20913	62466	41110	42269	27.874000	13.952000	124.932000
20879	62506	41006	42379	27.736000	14.022000	125.012000
21325	63810	41973	43162	28.308000	14.342000	127.620000
21251	63362	41654	42959	28.194000	14.308000	126.724000
21038	62664	41187	42515	28.176000	13.900000	125.328000
21073	63308	41512	42869	28.040000	14.106000	126.616000
21059	63606	41696	42969	27.988000	14.130000	127.212000
21098	63741	41797	43042	27.844000	14.352000	127.482000
21509	63711	41939	43281	28.502000	14.516000	127.422000
20868	62592	41248	42212	27.862000	13.874000	125.184000
21138	63641	41846	42933	28.092000	14.184000	127.282000
20643	62118	40752	42009	27.664000	13.622000	124.236000
20874	63489	41458	42905	27.732000	14.016000	126.978000
20692	61561	40527	41726	27.754000	13.630000	123.122000
20826	63164	41378	42612	27.772000	13.880000	126.328000
21212	63162	41426	42948	28.188000	14.236000	126.324000
20700	62498	41129	42069	27.724000	13.676000	124.996000
21359	63585	41804	43140	28.232000	14.486000	127.170000
21315	63559	41701	43173	28.150000	14.480000	127.118000
20734	63203	41272	42665	27.618000	13.850000	126.406000
21064	63655	41745	42974	27.946000	14.182000	127.310000
21286	63870	41856	43300	28.128000	14.444000	127.740000
21259	63029	41608	42680	28.382000	14.136000	126.058000
21029	63454	41519	42964	27.926000	14.132000	126.908000
20807	63095	41307	42595	27.922000	13.692000	126.190000
20914	63363	41428	42849	27.878000	13.950000	126.726000
21000	62778	41168	42610	27.874000	14.126000	125.556000
20848	63178	41317	42709	27.808000	13.888000	126.356000
20997	62843	41216	42624	27.920000	14.074000	125.686000
21348	62334	41320	42362	28.494000	14.202000	124.668000
20749	62556	40993	42312	27.898000	13.600000	125.112000
21282	62561	41480	42363	28.340000	14.224000	125.122000
21008	62936	41344	42600	27.928000	14.088000	125.872000
21277	63417	41562	43132	28.126000	14.428000	126.834000
21237	62736	41477	42496	28.198000	14.276000	125.472000
20983	62733	41275	42441	28.100000	13.866000	125.466000
21090	63209	41395	42904	27.982000	14.198000	126.418000
21194	63599	41666	43127	28.208000	14.180000	127.198000
21011	62538	41014	42535	27.784000	14.238000	125.076000
21136	63895	41657	43374	27.970000	14.302000	127.790000
21348	64004	41797	43555	28.166000	14.530000	128.008000
20906	62542	40985	42463	27.906000	13.906000	125.084000
20712	62878	41334	42256	27.708000	13.716000	125.756000
21023	62224	41074	42173	27.972000	14.074000	124.448000
20954	63354	41557	42751	27.874000	14.034000	126.708000
21073	63143	41656	42560	28.096000	14.050000	126.286000
20887	62727	41218	42396	27.904000	13.870000	125.454000
21135	62313	40893	42555	28.102000	14.168000	124.626000
21090	63734	41629	43195	28.166000	14.014000	127.468000
21283	63272	41523	43032	28.344000	14.222000	126.544000
20999	63493	41620	42872	27.858000	14.140000	126.986000
21086	62517	41087	42516	28.092000	14.080000	125.034000
21118	62892	41329	42681	28.112000	14.124000	125.784000
20914	64259	41716	43457	27.664000	14.164000	128.518000
20598	63280	41519	42359	27.414000	13.782000	126.560000
21560	63936	42122	43374	28.406000	14.714000	127.872000
21099	63781	41635	43245	27.942000	14.256000	127.562000
21320	63019	41531	42808	28.278000	14.362000	126.038000
20966	63243	41464	42745	27.786000	14.146000	126.486000
20911	62977	41358	42530	27.650000	14.172000	125.954000
21044	64016	41778	43282	27.954000	14.134000	128.032000
20816	61752	40621	41947	27.958000	13.674000	123.504000
